# types ships counts are in order of: otp;cute/like;brotp;platonic;don't care/neutral;dislike;make it stop
# file compiled by u/KomornikBank
type,INTJ,INTP,ENTJ,ENTP,INFJ,INFP,ENFJ,ENFP,ISTJ,ISFJ,ESTJ,ESFJ,ISTP,ISFP,ESTP,ESFP
INTP,0;0;1;0;1;0;0,0;1;1;0;0;0;0,0;1;0;0;0;1;0,0;0;2;0;0;1;0,0;1;1;0;0;0;0,0;1;1;0;0;0;0,0;0;0;0;2;0;0,0;0;2;1;0;0;0,0;1;0;0;0;0;1,0;0;0;0;2;0;0,0;0;0;0;1;1;0,0;0;0;0;2;0;0,0;1;1;0;0;0;0,0;0;0;0;2;0;0,0;0;0;0;1;0;1,0;1;0;1;1;0;0
ENTP,0;0;0;1;0;1;0,0;0;1;0;0;0;0,0;0;0;0;0;0;1,0;1;0;0;0;0;1,0;1;1;0;0;0;0,0;1;1;0;0;0;0,0;0;0;1;0;0;0,0;1;1;0;0;0;0,0;0;0;0;1;0;0,1;0;0;0;0;0;0,0;0;0;0;0;0;1,0;1;0;0;0;0;0,0;0;1;0;0;0;0,0;0;0;0;1;0;0,0;0;1;0;0;0;0,0;0;0;0;1;1;0
ISFJ,0;0;0;0;1;0;0,0;0;0;0;1;0;0,0;0;0;0;0;0;1,0;0;0;0;0;0;1,0;0;0;0;1;0;0,0;0;0;0;0;1;0,0;0;1;0;0;0;0,0;0;1;0;0;0;0,0;0;0;0;1;0;0,1;0;0;0;0;0;0,0;0;1;0;0;0;0,1;0;0;0;0;0;0,0;1;0;0;0;0;0,0;1;0;0;0;0;0,1;0;0;0;0;0;0,1;0;0;0;0;0;0
ENTJ,0;0;0;0;1;0;0,0;0;0;0;0;0;1,0;1;0;0;0;0;0,0;0;0;0;0;1;0,0;0;0;1;0;0;0,0;0;0;0;0;0;1,0;0;1;0;0;0;0,0;0;0;0;0;0;1,0;0;0;1;0;0;0,0;1;0;0;0;0;0,1;0;0;0;0;0;0,0;0;0;1;0;0;0,1;0;0;0;0;0;0,0;0;0;0;0;0;1,0;1;0;0;0;0;0,0;0;1;0;0;0;0
INFP,0;0;0;1;0;0;0,0;0;0;1;0;0;0,1;1;0;0;0;0;0,0;1;0;0;0;1;0,0;0;0;1;0;1;0,0;1;0;0;0;0;0,0;0;0;0;1;0;0,0;0;0;0;1;0;0,0;0;0;0;1;0;0,0;0;1;0;0;0;0,0;1;0;0;0;0;0,0;0;0;0;1;0;0,0;0;0;1;0;0;0,0;0;0;1;0;0;0,0;0;0;0;1;0;0,0;0;0;0;1;0;0
INFP,0;0;0;0;1;0;0,0;0;1;0;0;0;0,0;0;0;0;0;0;1,0;0;0;1;0;0;0,0;1;0;0;0;0;0,0;0;0;0;0;0;0,0;0;1;0;0;0;0,0;1;0;0;0;0;0,0;0;0;0;1;0;0,1;0;0;0;0;0;0,0;0;0;0;0;1;0,0;0;1;0;0;0;0,0;0;0;1;0;0;0,0;1;0;0;0;0;0,0;0;0;0;0;1;0,0;0;0;0;1;0;0
INTP,0;0;0;0;1;0;0,0;0;0;0;0;0;0,0;0;0;0;1;0;0,0;0;0;0;1;0;0,0;0;0;0;1;0;0,0;0;0;0;1;0;0,0;1;0;0;0;0;0,0;0;0;0;1;0;0,0;0;0;0;1;0;0,0;0;0;0;1;0;0,0;0;0;0;1;0;0,0;0;0;0;1;0;0,0;0;0;0;1;0;0,0;0;0;0;1;0;0,0;0;0;0;1;0;0,0;0;0;0;1;0;0
ISTP,0;0;0;1;0;0;0,0;0;0;1;0;0;0,0;0;0;0;1;0;0,0;0;1;0;0;0;0,0;1;0;0;0;0;0,0;1;0;0;0;0;0,1;0;0;0;0;0;0,0;1;0;0;0;0;0,0;0;0;0;0;1;0,0;0;0;1;0;0;0,0;0;0;0;1;0;0,1;0;0;0;0;0;0,0;0;0;0;0;0;0,0;0;1;0;0;0;0,0;0;1;0;0;0;0,0;0;1;0;0;0;0
INFJ,1;0;0;0;0;0;0,0;1;1;0;0;0;0,0;0;0;0;1;0;0,0;0;0;0;1;1;0,0;0;0;0;0;0;0,0;0;0;0;1;0;0,0;0;0;1;0;0;0,0;0;0;0;1;0;0,1;0;0;0;0;0;0,0;1;0;0;0;0;0,0;0;0;1;1;0;0,0;0;0;1;1;0;0,0;1;1;0;0;0;0,0;1;0;0;1;0;0,0;0;0;1;1;0;0,0;0;0;1;0;0;0
INFP,0;1;1;0;0;1;0,2;1;1;0;0;0;0,1;1;1;0;0;0;0,1;1;1;0;0;1;0,0;1;1;0;0;0;0,2;1;1;0;0;0;0,0;1;1;0;0;0;0,1;1;1;0;0;0;0,0;1;1;0;0;0;0,1;1;0;0;0;0;0,1;1;1;0;0;0;0,0;1;1;0;0;0;0,0;1;1;0;0;1;0,0;1;1;0;0;0;0,0;1;1;0;0;0;0,0;1;1;0;0;0;0
ENFP,0;0;0;1;0;0;0,0;0;0;1;0;0;0,0;0;0;0;1;0;0,0;0;1;0;0;0;0,0;0;0;0;1;0;0,0;0;0;0;0;1;0,0;1;0;0;0;0;0,0;0;1;0;0;0;0,0;0;0;0;0;1;0,0;0;0;1;0;0;0,0;0;0;0;0;1;0,0;0;1;0;0;0;0,0;0;0;0;1;0;0,0;0;0;0;0;1;0,0;0;0;0;0;1;0,0;1;0;0;0;0;0
ISFJ,0;0;0;1;0;0;0,1;1;0;0;0;0;0,1;1;0;0;0;0;0,1;1;0;0;0;0;0,0;1;1;1;0;0;0,0;1;1;1;0;0;0,0;0;1;1;0;0;0,0;1;1;1;0;0;0,0;1;0;1;0;0;0,0;1;1;1;0;0;0,1;1;0;0;0;0;0,0;0;0;1;0;0;0,0;0;0;0;1;0;0,0;0;0;0;1;0;0,0;0;0;0;1;1;0,0;0;0;0;1;1;0
ISFP,1;1;0;1;0;0;0,0;0;0;0;1;0;0,0;0;0;0;1;0;0,0;0;1;1;0;0;0,0;0;0;0;1;0;0,1;1;1;0;0;1;1,0;0;0;0;1;0;0,1;0;1;1;0;0;0,0;1;0;0;1;0;0,0;0;0;0;1;1;0,0;0;1;1;0;0;0,0;0;0;0;1;0;0,0;0;0;1;0;0;0,0;0;0;0;1;0;0,0;0;0;0;1;0;0,0;0;0;0;1;0;0
ESFJ,0;0;0;0;0;1;0,0;1;0;0;0;0;0,0;0;1;0;0;0;0,0;1;0;0;0;0;0,0;0;1;0;0;0;0,0;1;0;0;0;0;0,0;0;0;1;0;0;0,0;0;1;0;0;0;0,0;0;1;0;0;0;0,1;0;0;0;0;0;0,0;0;1;0;0;0;0,0;0;0;0;0;0;0,0;0;0;0;0;1;0,1;0;0;0;0;0;0,0;0;0;1;0;0;0,1;0;0;0;0;0;0
INFP,1;0;0;0;0;0;0,0;0;1;0;0;0;0,0;1;0;0;0;0;0,0;1;1;0;0;0;0,1;0;0;0;0;0;0,0;1;0;0;0;0;0,0;1;1;0;0;0;1,0;0;1;0;0;0;0,0;1;0;0;0;0;0,0;0;0;1;0;0;0,0;0;0;0;1;0;0,0;0;0;0;1;0;0,0;0;0;1;0;0;1,1;0;0;0;0;0;0,0;0;0;0;1;0;0,0;0;0;0;1;0;0
INFP,0;0;1;0;0;0;0,1;0;0;0;0;0;0,0;0;0;0;1;0;0,0;0;1;0;0;0;0,1;1;0;0;0;0;0,1;0;0;0;0;0;0,0;0;0;0;1;0;0,0;1;0;0;0;0;0,0;0;0;0;1;0;0,0;0;0;1;0;0;0,0;0;0;0;0;1;0,0;0;0;0;0;1;0,0;0;1;0;0;0;0,0;0;0;0;1;0;0,0;0;0;0;0;0;0,0;0;0;0;1;0;0
INTP,1;0;0;0;0;0;0,0;0;1;0;0;0;0,0;1;0;0;0;0;0,0;0;1;0;0;0;0,0;0;1;0;0;0;0,0;1;0;0;0;0;0,0;0;0;0;0;0;0,0;0;0;1;0;0;0,1;0;0;0;0;0;0,0;0;0;1;0;0;0,0;0;0;0;0;1;0,0;0;0;0;1;0;0,0;0;1;0;0;0;0,0;0;0;1;0;0;0,1;0;0;0;0;0;0,0;0;0;0;1;0;0
ESFJ,0;0;0;1;0;0;0,0;0;0;1;0;0;0,0;1;0;0;0;0;0,0;1;0;0;0;0;0,0;0;1;0;0;0;0,1;0;0;0;0;0;0,0;1;0;0;0;0;0,1;0;0;0;0;0;0,0;0;1;0;0;0;0,1;0;0;0;0;0;0,0;0;1;0;0;0;0,1;0;0;0;0;0;0,0;0;1;0;0;0;0,0;1;0;0;0;0;0,0;0;0;0;0;1;0,1;0;0;0;0;0;0
ESFP,0;0;0;1;0;0;0,0;0;0;0;0;1;0,0;0;0;0;0;0;0,0;0;0;0;0;0;1,0;0;0;1;0;0;0,0;0;0;0;1;0;0,0;0;0;1;0;0;0,0;0;1;0;0;0;0,1;0;0;0;0;0;0,0;0;0;0;1;0;0,0;0;0;0;0;0;0,0;0;0;0;0;0;0,0;1;0;0;0;0;0,0;0;0;0;0;0;0,0;1;0;0;0;0;0,0;0;0;0;0;0;0
INFJ,0;0;0;1;0;0;0,1;1;0;0;0;0;0,0;0;0;0;0;1;0,0;0;0;1;0;0;0,0;1;0;0;0;0;0,0;0;1;0;0;0;0,0;0;0;0;0;0;1,0;0;1;0;0;0;0,0;0;0;0;1;0;0,0;0;1;0;0;0;0,0;0;0;0;1;0;0,0;1;0;0;0;0;0,0;0;0;0;1;0;0,0;0;0;0;1;0;0,0;0;0;0;1;0;0,0;0;0;0;1;0;0
ISTP,0;0;0;1;0;0;0,0;0;1;0;0;0;0,0;0;1;0;0;0;0,0;0;0;0;0;0;1,0;0;0;0;1;0;0,0;0;0;0;1;0;0,0;1;0;0;0;0;0,0;0;0;0;0;1;0,0;0;0;0;1;0;0,0;0;0;0;1;0;0,0;0;1;0;0;0;0,0;1;0;0;0;0;0,0;0;1;0;0;0;0,0;0;0;1;0;0;0,0;0;1;0;0;0;0,0;0;0;0;1;0;0
INTP,0;0;1;0;0;0;0,0;0;0;0;0;0;0,1;1;0;0;0;0;0,1;1;0;0;0;0;0,0;0;0;0;1;0;0,0;0;1;0;0;0;0,0;0;0;0;1;0;0,0;0;0;0;0;0;0,0;0;0;0;1;0;0,0;0;0;0;1;0;0,0;0;0;0;0;0;1,0;0;0;1;0;0;0,0;1;1;0;0;0;0,0;0;0;0;1;0;0,0;0;0;1;0;0;0,0;0;0;0;0;1;0
ISTJ,0;0;0;0;1;0;0,0;0;0;0;0;0;1,0;0;0;0;0;1;0,0;0;0;0;0;0;1,0;1;0;0;0;1;0,0;0;1;0;0;0;0,0;0;0;0;0;1;0,0;0;0;0;1;0;0,0;0;0;0;0;0;0,0;0;0;0;1;0;0,0;0;0;0;0;0;1,0;0;0;0;0;0;1,0;0;0;0;0;1;0,0;0;0;0;1;0;0,0;0;0;0;0;0;1,0;0;0;0;0;1;0
ISFP,0;0;0;1;0;0;0,0;1;0;0;0;0;0,1;0;0;0;0;0;1,1;0;0;0;0;0;1,0;0;0;0;1;0;0,0;1;0;0;0;0;0,1;0;0;0;0;0;0,0;1;0;0;0;0;0,0;0;1;0;0;0;0,0;0;0;1;0;0;0,0;0;0;0;0;1;0,0;0;0;1;0;0;0,0;0;1;0;0;0;0,0;0;0;0;1;0;0,0;0;0;0;1;1;0,0;0;0;0;0;1;0
ISTJ,0;1;0;0;0;0;0,0;0;0;0;0;1;0,0;0;1;0;0;0;0,0;0;0;0;0;1;0,0;0;0;1;0;0;0,0;0;0;0;1;0;0,0;0;1;0;0;0;0,0;1;0;0;0;0;0,1;0;0;0;0;0;0,0;1;0;0;0;0;0,0;0;1;0;0;0;0,0;0;0;1;0;0;0,0;1;0;0;0;0;0,1;0;0;0;0;0;0,0;0;0;0;0;1;0,0;0;0;0;1;0;0
ENFP,1;1;1;0;0;0;0,0;1;1;0;0;0;0,0;1;0;1;0;1;0,0;0;1;0;0;1;0,0;1;1;1;0;0;0,1;1;1;0;0;0;0,1;1;1;0;0;0;0,0;0;1;1;0;0;0,0;0;0;1;0;0;0,0;0;0;0;1;0;0,0;0;0;0;1;1;0,0;0;0;0;1;0;0,0;0;0;0;1;0;0,0;1;0;1;0;0;0,0;0;0;0;0;1;1,0;0;1;0;0;1;0
INTJ,0;0;0;0;0;0;0,0;1;0;0;0;0;0,0;1;0;0;0;0;0,0;1;0;0;0;0;0,0;0;0;1;0;0;0,0;0;0;0;0;1;0,0;0;1;0;0;0;0,0;0;0;1;0;0;0,0;0;0;0;0;1;0,0;0;0;0;1;0;0,0;0;0;0;0;0;1,0;0;0;1;0;0;0,0;0;1;0;0;0;0,0;0;0;0;0;1;0,0;0;0;0;1;0;0,0;0;0;0;0;1;0
INTP,1;1;0;0;0;0;0,1;1;0;0;0;1;0,1;0;1;0;0;0;0,0;0;1;1;0;0;0,1;0;1;0;0;0;0,0;1;0;0;1;0;0,0;1;1;0;0;0;0,0;1;0;1;0;0;0,0;1;0;0;1;0;0,0;0;0;0;1;1;0,0;0;0;0;0;1;1,0;0;0;0;1;1;0,0;1;1;0;0;0;0,0;0;0;0;1;1;0,0;0;1;0;1;0;0,0;0;0;0;1;0;1
INFJ,1;0;1;0;0;0;0,0;0;0;1;0;1;0,0;0;1;0;0;0;0,1;0;1;0;0;0;0,0;0;0;0;0;0;0,0;0;0;1;0;0;0,0;0;0;0;1;0;0,0;0;1;0;0;0;0,0;0;0;0;1;0;0,0;1;0;0;0;0;0,0;0;0;0;1;0;0,0;0;0;0;1;0;0,0;0;0;1;0;0;0,0;1;0;0;0;0;0,0;0;0;0;1;0;0,0;0;0;0;1;0;0
INFJ,0;0;0;1;0;0;0,0;0;0;0;0;1;0,0;0;0;1;0;0;0,0;1;1;0;0;0;0,0;0;0;0;0;0;0,1;0;0;0;0;0;0,0;0;0;0;1;0;0,0;0;1;0;0;0;0,0;0;0;1;0;0;0,0;0;0;1;0;1;1,0;0;0;0;1;0;0,0;0;0;0;1;0;0,0;0;0;0;1;0;0,0;0;0;1;0;0;0,0;0;0;1;0;0;0,0;0;0;0;1;0;0
INFJ,0;0;1;1;0;0;0,0;0;1;1;0;0;0,0;1;1;0;0;0;0,0;1;0;0;1;0;1,0;0;0;0;0;0;0,0;1;1;0;0;0;0,1;1;0;0;0;0;0,0;1;1;0;0;0;0,0;0;0;1;1;0;0,0;0;0;1;0;0;0,0;0;0;0;1;0;0,0;0;0;1;0;0;0,0;0;1;1;0;0;0,0;1;0;0;0;0;0,1;0;0;0;1;0;0,0;0;0;0;1;0;0
ISTP,0;0;0;0;1;0;0,1;1;0;0;0;0;0,0;0;0;0;1;0;0,0;0;0;1;0;0;0,0;0;0;0;0;1;0,1;1;0;0;0;0;0,0;0;0;0;0;1;0,0;0;0;0;0;0;1,0;0;0;0;1;0;0,0;0;0;1;0;0;0,0;0;1;0;0;0;0,0;0;0;0;1;0;0,0;0;0;0;0;0;0,0;0;0;0;1;0;0,0;0;1;0;0;0;0,0;0;0;0;0;1;0
ENTJ,0;0;1;0;0;0;0,1;0;0;0;0;0;0,0;0;0;0;0;0;0,0;0;1;0;0;0;1,0;0;1;0;0;0;0,0;1;0;0;0;0;0,0;0;0;1;0;1;1,1;0;0;0;0;0;0,0;0;1;0;0;0;0,0;1;0;1;0;0;0,0;0;1;0;0;0;1,0;1;1;0;0;0;0,0;0;0;1;0;0;0,0;1;0;1;0;0;0,0;0;1;1;0;0;0,0;0;0;0;0;0;1
INTP,1;0;0;0;0;0;0,0;0;1;0;0;0;0,1;0;0;0;0;0;0,1;0;0;0;0;0;0,0;1;0;0;0;0;0,0;0;0;0;0;0;1,0;0;0;1;0;0;0,0;0;0;0;0;0;1,0;0;0;1;0;0;0,0;1;0;0;0;0;0,0;0;0;0;1;0;0,0;0;0;0;1;0;0,0;0;0;1;0;0;0,0;0;0;0;1;0;0,0;0;1;0;0;0;0,0;0;0;0;0;0;1
INTJ,1;0;0;0;0;0;0,0;0;0;1;0;0;0,0;0;1;0;0;0;0,0;0;1;0;0;0;0,0;0;0;1;0;0;0,1;0;0;0;0;0;0,0;0;0;0;1;0;0,0;0;0;0;1;0;0,0;0;1;0;0;0;0,0;0;1;0;0;0;0,0;0;0;0;1;0;0,0;0;0;0;0;1;0,0;0;1;0;0;0;0,0;0;1;0;0;0;0,0;0;0;0;1;0;0,0;0;0;0;1;0;0
INTJ,1;0;0;0;0;0;1,0;0;0;1;0;0;0,0;0;0;1;1;0;0,1;1;1;0;1;1;1,0;1;0;0;1;0;0,0;0;0;1;0;0;0,0;0;0;0;1;0;0,0;0;0;0;1;0;0,0;0;0;0;1;1;0,0;0;0;0;1;0;0,0;0;0;0;1;0;0,0;0;0;0;1;0;0,0;0;0;0;1;0;0,0;0;0;0;1;1;0,0;0;0;0;1;0;0,0;0;0;0;1;1;0
INFP,1;0;0;0;0;0;0,0;1;0;0;0;0;0,0;0;0;0;0;1;0,0;0;0;0;0;1;0,1;0;0;0;0;0;0,0;0;1;0;0;0;0,0;0;1;0;0;0;0,0;0;0;0;0;0;1,0;0;0;1;0;0;0,1;0;0;0;0;0;0,0;0;0;0;1;0;0,0;0;0;0;1;0;0,0;0;0;0;1;0;0,1;0;0;0;0;0;0,0;0;0;0;1;0;0,0;0;0;0;0;0;1
ENTP,0;0;0;0;0;1;0,0;0;0;1;0;0;0,0;0;0;0;0;0;1,0;0;0;0;0;0;0,0;1;0;0;0;0;0,0;0;1;0;0;0;0,1;0;0;0;0;0;0,1;0;0;0;0;0;0,0;0;0;0;0;1;0,0;0;0;0;1;0;0,0;0;0;0;0;0;1,1;0;0;0;0;0;0,1;0;0;0;0;0;0,0;1;0;0;0;0;0,0;0;0;1;0;0;0,0;0;0;1;0;0;0
ESTP,0;1;0;0;0;0;0,0;1;0;0;0;0;0,0;1;0;0;0;0;0,0;0;1;0;0;0;0,0;1;0;0;0;0;0,0;0;0;0;1;0;0,0;1;0;0;0;0;0,0;0;0;0;1;0;0,0;1;0;0;0;0;0,0;0;0;0;1;0;0,0;0;0;0;1;0;0,0;1;0;0;0;0;0,0;1;0;0;0;0;0,0;0;0;0;1;0;0,0;0;0;0;0;0;0,0;0;1;0;0;0;0
INTJ,0;1;0;1;0;0;1,1;1;1;1;0;0;0,0;0;0;0;0;1;1,0;0;0;1;0;1;1,1;1;1;1;0;0;0,0;0;0;0;1;0;0,0;0;0;0;1;0;1,1;1;1;1;0;0;0,0;0;0;1;1;0;0,0;0;0;0;0;1;1,0;0;0;0;0;1;1,0;0;0;0;1;1;0,0;0;0;1;1;0;0,0;0;0;0;1;0;1,0;0;0;0;0;1;1,0;0;0;0;0;1;1
INTJ,0;0;0;0;1;0;0,1;0;0;0;0;0;0,0;0;0;0;0;0;1,1;0;0;0;0;0;0,0;0;1;0;0;0;0,0;1;0;0;0;1;0,0;0;1;0;0;0;0,1;0;0;0;0;1;0,0;0;0;0;0;1;0,0;0;0;0;1;0;0,0;0;0;0;0;0;1,0;0;0;0;1;0;0,0;0;0;0;1;0;0,0;0;0;0;1;0;0,0;0;0;1;0;0;0,0;0;0;0;0;0;1
ESTP,0;0;1;0;0;0;0,0;0;0;1;0;0;0,0;0;0;0;0;1;0,0;0;0;0;0;1;0,0;0;0;0;1;0;0,0;0;0;0;0;0;1,0;0;0;1;0;0;0,0;0;1;0;0;0;0,0;0;0;0;0;1;0,0;1;0;0;0;0;0,0;0;0;0;0;0;1,0;0;0;0;1;0;0,0;0;1;0;0;0;0,0;0;0;0;0;0;1,0;0;1;0;0;0;0,0;0;0;1;0;0;0
ESFP,0;1;0;0;0;0;0,0;0;0;0;1;0;0,1;0;0;0;0;0;0,0;0;0;1;0;0;0,0;0;0;1;0;0;0,0;0;0;0;1;0;0,0;0;0;1;0;0;0,0;0;0;0;1;0;0,0;1;0;0;0;0;0,0;0;0;0;1;0;0,0;1;0;0;0;0;0,0;0;0;1;0;0;0,0;0;0;1;0;0;0,0;0;0;0;1;0;0,0;1;0;0;0;0;0,0;0;0;0;1;0;0
ESTP,0;0;0;0;0;0;1,0;0;0;0;0;0;1,0;0;0;0;0;0;1,0;0;1;0;0;0;0,0;0;0;0;0;0;1,0;0;0;0;0;0;1,0;0;0;0;0;0;1,0;1;0;0;0;0;0,0;0;0;0;0;0;1,0;0;1;0;0;0;1,0;0;0;0;0;0;1,0;0;0;1;0;0;1,1;0;1;0;0;0;0,0;0;0;0;1;0;0,0;0;0;0;0;0;0,0;1;1;0;0;0;0
ISTP,1;0;1;0;0;0;0,0;0;1;0;1;0;0,1;0;0;0;0;0;1,0;0;1;0;0;0;1,1;1;0;0;0;0;0,0;1;0;1;1;0;1,0;1;0;1;0;0;0,0;0;0;1;1;0;0,1;1;0;0;0;0;0,0;1;0;1;0;0;0,0;0;0;0;1;0;1,0;0;0;0;1;0;1,0;0;0;0;0;0;0,0;0;0;1;1;1;0,0;0;1;0;0;0;0,0;0;1;0;1;1;0
ENTP,1;0;0;0;0;0;0,0;1;0;0;0;0;0,1;0;0;0;0;0;0,0;0;0;0;0;0;0,1;0;0;0;0;0;0,1;0;0;0;0;0;0,0;0;0;0;0;0;1,0;0;1;0;0;0;0,1;0;0;0;0;0;0,0;1;0;0;0;0;0,1;0;0;0;0;0;0,0;0;0;0;0;0;1,0;1;0;0;0;0;0,0;0;0;0;1;0;0,0;0;1;0;0;0;0,0;0;0;1;0;0;0
